           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.15500000   105.86458695    88.71373568    -0.00144641   679.64418993   568.77942007    -0.01789939     0.00000043    -0.00000051     0.00004300    19.81900000     0.03751405     0.40680089  1992.10761104
     0.16000000   109.26227125    91.55706133    -0.00153717   679.42955644   568.55086635    -0.01840094     0.00000044    -0.00000052     0.00004441    19.81900000     0.03751160     0.40677408  1991.93652435
     0.16500000   112.65888277    94.39924458    -0.00163042   679.21507826   568.32245825    -0.01889780     0.00000045    -0.00000054     0.00004582    19.81900000     0.03750915     0.40674727  1991.76552982
     0.17000000   116.05442229    97.24028616    -0.00172614   679.00075523   568.09419559    -0.01938999     0.00000046    -0.00000055     0.00004724    19.81900000     0.03750670     0.40672046  1991.59462737
     0.17500000   119.44889058   100.08018678    -0.00182431   678.78658717   567.86607821    -0.01987751     0.00000048    -0.00000057     0.00004866    19.81900000     0.03750425     0.40669365  1991.42381692
     0.18000000   122.84228842   102.91894718    -0.00192490   678.57257390   567.63810596    -0.02036036     0.00000049    -0.00000058     0.00005008    19.81900000     0.03750180     0.40666684  1991.25309838
     0.18500000   126.23461658   105.75656808    -0.00202790   678.35871527   567.41027866    -0.02083854     0.00000050    -0.00000060     0.00005150    19.81900000     0.03749935     0.40664003  1991.08247168
     0.19000000   129.62587583   108.59305021    -0.00213328   678.14501110   567.18259617    -0.02131208     0.00000051    -0.00000061     0.00005292    19.81900000     0.03749690     0.40661322  1990.91193671
     0.19500000   133.01606695   111.42839429    -0.00224102   677.93146121   566.95505832    -0.02178096     0.00000052    -0.00000062     0.00005435    19.81900000     0.03749445     0.40658641  1990.74149341
     0.20000000   136.40519070   114.26260103    -0.00235108   677.71806543   566.72766495    -0.02224519     0.00000053    -0.00000064     0.00005577    19.81900000     0.03749200     0.40655960  1990.57114168
     0.20500000   139.79324786   117.09567118    -0.00246346   677.50482360   566.50041591    -0.02270479     0.00000055    -0.00000065     0.00005720    19.81900000     0.03748955     0.40653279  1990.40088145
     0.21000000   143.18023919   119.92760543    -0.00257812   677.29173554   566.27331102    -0.02315974     0.00000056    -0.00000066     0.00005863    19.81900000     0.03748710     0.40650598  1990.23071263
     0.21500000   146.56616547   122.75840453    -0.00269505   677.07880108   566.04635014    -0.02361007     0.00000057    -0.00000068     0.00006006    19.81900000     0.03748465     0.40647917  1990.06063513
     0.22000000   149.95102746   125.58806918    -0.00281422   676.86602005   565.81953311    -0.02405577     0.00000058    -0.00000069     0.00006149    19.81900000     0.03748220     0.40645236  1989.89064888
     0.22500000   153.33482593   128.41660010    -0.00293560   676.65339229   565.59285976    -0.02449686     0.00000059    -0.00000070     0.00006293    19.81900000     0.03747975     0.40642555  1989.72075379
     0.23000000   156.71756164   131.24399801    -0.00305918   676.44091762   565.36632993    -0.02493332     0.00000060    -0.00000072     0.00006436    19.81900000     0.03747730     0.40639874  1989.55094977
     0.23500000   160.09923536   134.07026364    -0.00318493   676.22859588   565.13994348    -0.02536518     0.00000061    -0.00000073     0.00006580    19.81900000     0.03747485     0.40637193  1989.38123675
     0.24000000   163.47984785   136.89539769    -0.00331282   676.01642689   564.91370024    -0.02579243     0.00000062    -0.00000074     0.00006724    19.81900000     0.03747240     0.40634512  1989.21161464
     0.24500000   166.85939988   139.71940088    -0.00344284   675.80441048   564.68760005    -0.02621508     0.00000063    -0.00000076     0.00006868    19.81900000     0.03746995     0.40631831  1989.04208336
     0.25000000   170.23789221   142.54227392    -0.00357497   675.59254650   564.46164276    -0.02663314     0.00000064    -0.00000077     0.00007012    19.81900000     0.03746750     0.40629150  1988.87264282
     0.25500000   173.61532560   145.36401754    -0.00370917   675.38083476   564.23582821    -0.02704660     0.00000066    -0.00000078     0.00007156    19.81900000     0.03746505     0.40626469  1988.70329295
     0.26000000   176.99170081   148.18463244    -0.00384542   675.16927511   564.01015624    -0.02745549     0.00000067    -0.00000079     0.00007301    19.81900000     0.03746260     0.40623788  1988.53403366
     0.26500000   180.36701860   151.00411934    -0.00398371   674.95786737   563.78462670    -0.02785979     0.00000068    -0.00000081     0.00007446    19.81900000     0.03746015     0.40621107  1988.36486487
     0.27000000   183.74127974   153.82247895    -0.00412401   674.74661138   563.55923942    -0.02825951     0.00000069    -0.00000082     0.00007591    19.81900000     0.03745770     0.40618426  1988.19578649
     0.27500000   187.11448497   156.63971197    -0.00426630   674.53550697   563.33399426    -0.02865467     0.00000070    -0.00000083     0.00007736    19.81900000     0.03745525     0.40615745  1988.02679845
     0.28000000   190.48663506   159.45581913    -0.00441055   674.32455398   563.10889106    -0.02904526     0.00000071    -0.00000084     0.00007881    19.81900000     0.03745280     0.40613064  1987.85790066
     0.28500000   193.85773076   162.27080112    -0.00455675   674.11375223   562.88392966    -0.02943130     0.00000072    -0.00000085     0.00008026    19.81900000     0.03745035     0.40610383  1987.68909305
     0.29000000   197.22777283   165.08465866    -0.00470486   673.90310156   562.65910990    -0.02981277     0.00000073    -0.00000086     0.00008172    19.81900000     0.03744790     0.40607702  1987.52037552
     0.29500000   200.59676203   167.89739246    -0.00485487   673.69260180   562.43443164    -0.03018970     0.00000074    -0.00000088     0.00008318    19.81900000     0.03744545     0.40605021  1987.35174801
     0.30000000   203.96469910   170.70900321    -0.00500675   673.48225280   562.20989471    -0.03056209     0.00000074    -0.00000089     0.00008463    19.81900000     0.03744300     0.40602340  1987.18321042
     0.30500000   207.33158481   173.51949164    -0.00516048   673.27205437   561.98549896    -0.03092993     0.00000075    -0.00000090     0.00008609    19.81900000     0.03744055     0.40599659  1987.01476268
     0.31000000   210.69741990   176.32885844    -0.00531604   673.06200637   561.76124424    -0.03129324     0.00000076    -0.00000091     0.00008756    19.81900000     0.03743810     0.40596978  1986.84640470
     0.31500000   214.06220512   179.13710431    -0.00547340   672.85210862   561.53713040    -0.03165202     0.00000077    -0.00000092     0.00008902    19.81900000     0.03743565     0.40594297  1986.67813640
     0.32000000   217.42594123   181.94422998    -0.00563255   672.64236095   561.31315727    -0.03200627     0.00000078    -0.00000093     0.00009049    19.81900000     0.03743320     0.40591616  1986.50995771
     0.32500000   220.78862898   184.75023612    -0.00579346   672.43276321   561.08932470    -0.03235600     0.00000079    -0.00000094     0.00009195    19.81900000     0.03743075     0.40588935  1986.34186854
     0.33000000   224.15026911   187.55512346    -0.00595610   672.22331523   560.86563255    -0.03270122     0.00000080    -0.00000095     0.00009342    19.81900000     0.03742830     0.40586254  1986.17386882
     0.33500000   227.51086238   190.35889268    -0.00612046   672.01401685   560.64208066    -0.03304193     0.00000081    -0.00000096     0.00009489    19.81900000     0.03742585     0.40583573  1986.00595845
     0.34000000   230.87040953   193.16154450    -0.00628652   671.80486790   560.41866887    -0.03337813     0.00000082    -0.00000097     0.00009636    19.81900000     0.03742340     0.40580892  1985.83813736
     0.34500000   234.22891131   195.96307960    -0.00645424   671.59586821   560.19539704    -0.03370983     0.00000083    -0.00000098     0.00009784    19.81900000     0.03742095     0.40578211  1985.67040548
     0.35000000   237.58636846   198.76349870    -0.00662361   671.38701763   559.97226500    -0.03403704     0.00000084    -0.00000099     0.00009931    19.81900000     0.03741850     0.40575530  1985.50276271
     0.35500000   240.94278173   201.56280249    -0.00679460   671.17831600   559.74927261    -0.03435975     0.00000084    -0.00000100     0.00010079    19.81900000     0.03741605     0.40572849  1985.33520899
     0.36000000   244.29815187   204.36099166    -0.00696720   670.96976314   559.52641972    -0.03467798     0.00000085    -0.00000101     0.00010227    19.81900000     0.03741360     0.40570168  1985.16774423
     0.36500000   247.65247961   207.15806691    -0.00714137   670.76135890   559.30370617    -0.03499173     0.00000086    -0.00000102     0.00010375    19.81900000     0.03741115     0.40567487  1985.00036834
     0.37000000   251.00576571   209.95402895    -0.00731711   670.55310311   559.08113181    -0.03530100     0.00000087    -0.00000103     0.00010523    19.81900000     0.03740870     0.40564806  1984.83308126
     0.37500000   254.35801089   212.74887846    -0.00749438   670.34499562   558.85869649    -0.03560580     0.00000088    -0.00000104     0.00010672    19.81900000     0.03740625     0.40562125  1984.66588290
     0.38000000   257.70921591   215.54261615    -0.00767316   670.13703626   558.63640007    -0.03590614     0.00000088    -0.00000105     0.00010820    19.81900000     0.03740380     0.40559444  1984.49877318
     0.38500000   261.05938150   218.33524270    -0.00785343   669.92922487   558.41424238    -0.03620201     0.00000089    -0.00000106     0.00010969    19.81900000     0.03740135     0.40556763  1984.33175202
     0.39000000   264.40850841   221.12675880    -0.00803517   669.72156129   558.19222327    -0.03649342     0.00000090    -0.00000107     0.00011118    19.81900000     0.03739890     0.40554082  1984.16481935
     0.39500000   267.75659736   223.91716516    -0.00821836   669.51404536   557.97034261    -0.03678039     0.00000091    -0.00000108     0.00011267    19.81900000     0.03739645     0.40551401  1983.99797508
     0.40000000   271.10364910   226.70646246    -0.00840297   669.30667691   557.74860023    -0.03706290     0.00000092    -0.00000109     0.00011416    19.81900000     0.03739400     0.40548720  1983.83121914
     0.40500000   274.44966438   229.49465139    -0.00858898   669.09945579   557.52699599    -0.03734097     0.00000092    -0.00000110     0.00011566    19.81900000     0.03739155     0.40546039  1983.66455144
     0.41000000   277.79464391   232.28173265    -0.00877637   668.89238184   557.30552974    -0.03761461     0.00000093    -0.00000111     0.00011715    19.81900000     0.03738910     0.40543358  1983.49797191
     0.41500000   281.13858844   235.06770692    -0.00896512   668.68545489   557.08420133    -0.03788381     0.00000094    -0.00000112     0.00011865    19.81900000     0.03738665     0.40540677  1983.33148046
     0.42000000   284.48149870   237.85257489    -0.00915520   668.47867479   556.86301060    -0.03814858     0.00000094    -0.00000112     0.00012015    19.81900000     0.03738420     0.40537996  1983.16507703
     0.42500000   287.82337543   240.63633726    -0.00934660   668.27204138   556.64195741    -0.03840893     0.00000095    -0.00000113     0.00012165    19.81900000     0.03738175     0.40535315  1982.99876153
     0.43000000   291.16421936   243.41899470    -0.00953928   668.06555450   556.42104162    -0.03866486     0.00000096    -0.00000114     0.00012315    19.81900000     0.03737930     0.40532634  1982.83253389
     0.43500000   294.50403122   246.20054790    -0.00973324   667.85921398   556.20026306    -0.03891638     0.00000097    -0.00000115     0.00012466    19.81900000     0.03737685     0.40529953  1982.66639402
     0.44000000   297.84281174   248.98099755    -0.00992844   667.65301968   555.97962160    -0.03916349     0.00000097    -0.00000116     0.00012616    19.81900000     0.03737440     0.40527272  1982.50034184
     0.44500000   301.18056166   251.76034434    -0.01012486   667.44697143   555.75911709    -0.03940619     0.00000098    -0.00000116     0.00012767    19.81900000     0.03737195     0.40524591  1982.33437729
     0.45000000   304.51728170   254.53858895    -0.01032249   667.24106907   555.53874937    -0.03964449     0.00000099    -0.00000117     0.00012918    19.81900000     0.03736950     0.40521910  1982.16850027
     0.45500000   307.85297259   257.31573207    -0.01052130   667.03531245   555.31851830    -0.03987840     0.00000099    -0.00000118     0.00013069    19.81900000     0.03736705     0.40519229  1982.00271072
     0.46000000   311.18763507   260.09177436    -0.01072127   666.82970140   555.09842374    -0.04010791     0.00000100    -0.00000119     0.00013220    19.81900000     0.03736460     0.40516548  1981.83700856
