           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.15500000   105.86968461    88.71800855    -0.00144640   679.72701906   568.84881089    -0.01789879     0.00000043    -0.00000051     0.00004299    19.81882599     0.03751404     0.40680081  1992.10744020
     0.16000000   109.26779386    91.56169020    -0.00153715   679.51670003   568.62386768    -0.01840027     0.00000044    -0.00000052     0.00004440    19.81881595     0.03751159     0.40677399  1991.93633929
     0.16500000   112.66485176    94.40424737    -0.00163039   679.30646889   568.39901334    -0.01889707     0.00000045    -0.00000054     0.00004582    19.81880605     0.03750914     0.40674717  1991.76532984
     0.17000000   116.06085861    97.24568041    -0.00172611   679.09628118   568.17421066    -0.01938919     0.00000046    -0.00000055     0.00004723    19.81879642     0.03750669     0.40672035  1991.59441177
     0.17500000   119.45581472   100.08598963    -0.00182428   678.88618758   567.94950205    -0.01987664     0.00000048    -0.00000057     0.00004865    19.81878691     0.03750424     0.40669353  1991.42358502
     0.18000000   122.84972089   102.92517579    -0.00192487   678.67634021   567.72501475    -0.02035942     0.00000049    -0.00000058     0.00005007    19.81877720     0.03750179     0.40666671  1991.25284949
     0.18500000   126.24257894   105.76324049    -0.00202786   678.46698201   567.50095195    -0.02083752     0.00000050    -0.00000060     0.00005149    19.81876670     0.03749934     0.40663989  1991.08220509
     0.19000000   129.63439190   108.60018633    -0.00213324   678.25833049   567.27749550    -0.02131094     0.00000051    -0.00000061     0.00005291    19.81875493     0.03749689     0.40661307  1990.91165163
     0.19500000   133.02516356   111.43601657    -0.00224096   678.05046151   567.05470876    -0.02177968     0.00000052    -0.00000062     0.00005433    19.81874171     0.03749444     0.40658625  1990.74118894
     0.20000000   136.41489770   114.27073444    -0.00235102   677.84329878   566.83252782    -0.02224376     0.00000053    -0.00000064     0.00005576    19.81872720     0.03749198     0.40655943  1990.57081684
     0.20500000   139.80359736   117.10434255    -0.00246339   677.63662443   566.61077040    -0.02270317     0.00000055    -0.00000065     0.00005719    19.81871192     0.03748953     0.40653260  1990.40053516
     0.21000000   143.19126435   119.93684250    -0.00257805   677.43019506   566.38923293    -0.02315794     0.00000056    -0.00000066     0.00005862    19.81869641     0.03748708     0.40650578  1990.23034379
     0.21500000   146.57789946   122.76823503    -0.00269497   677.22385771   566.16778749    -0.02360808     0.00000057    -0.00000068     0.00006005    19.81868105     0.03748463     0.40647896  1990.06024264
     0.22000000   149.96350298   125.59852045    -0.00281412   677.01756039   565.94639062    -0.02405359     0.00000058    -0.00000069     0.00006148    19.81866594     0.03748218     0.40645213  1989.89023165
     0.22500000   153.34807520   128.42769907    -0.00293549   676.81134583   565.72507802    -0.02449448     0.00000059    -0.00000070     0.00006291    19.81865099     0.03747973     0.40642531  1989.72031075
     0.23000000   156.73161670   131.25577147    -0.00305906   676.60528298   565.50390734    -0.02493075     0.00000060    -0.00000072     0.00006434    19.81863603     0.03747728     0.40639848  1989.55047987
     0.23500000   160.11412833   134.08273842    -0.00318479   676.39939867   565.28290096    -0.02536240     0.00000061    -0.00000073     0.00006578    19.81862101     0.03747482     0.40637165  1989.38073891
     0.24000000   163.49561095   136.90860073    -0.00331267   676.19367133   565.06204084    -0.02578945     0.00000062    -0.00000074     0.00006722    19.81860597     0.03747237     0.40634482  1989.21108780
     0.24500000   166.87606520   139.73335899    -0.00344268   675.98803691   564.84127345    -0.02621189     0.00000063    -0.00000076     0.00006866    19.81859107     0.03746992     0.40631800  1989.04152645
     0.25000000   170.25549140   142.55701355    -0.00357479   675.78245347   564.62056373    -0.02662973     0.00000064    -0.00000077     0.00007010    19.81857639     0.03746747     0.40629117  1988.87205480
     0.25500000   173.63388988   145.37956478    -0.00370897   675.57696576   564.39994908    -0.02704299     0.00000065    -0.00000078     0.00007154    19.81856184     0.03746502     0.40626434  1988.70267278
     0.26000000   177.01126144   148.20101339    -0.00384521   675.37171106   564.17954415    -0.02745164     0.00000067    -0.00000079     0.00007299    19.81854710     0.03746257     0.40623751  1988.53338031
     0.26500000   180.38760775   151.02136088    -0.00398348   675.16691034   563.95953351    -0.02785570     0.00000068    -0.00000080     0.00007443    19.81853165     0.03746011     0.40621068  1988.36417727
     0.27000000   183.76293165   153.84060968    -0.00412376   674.96277143   563.74009069    -0.02825515     0.00000069    -0.00000082     0.00007588    19.81851502     0.03745766     0.40618384  1988.19506352
     0.27500000   187.13723674   156.65876287    -0.00426602   674.75939224   563.52129737    -0.02864998     0.00000070    -0.00000083     0.00007733    19.81849698     0.03745521     0.40615701  1988.02603887
     0.28000000   190.51052681   159.47582371    -0.00441025   674.55675200   563.30313609    -0.02904021     0.00000071    -0.00000084     0.00007878    19.81847758     0.03745276     0.40613018  1987.85710315
     0.28500000   193.88280527   162.29179510    -0.00455642   674.35471521   563.08549361    -0.02942584     0.00000072    -0.00000085     0.00008023    19.81845712     0.03745031     0.40610334  1987.68825619
     0.29000000   197.25407463   165.10667922    -0.00470450   674.15307493   562.86819706    -0.02980690     0.00000073    -0.00000086     0.00008169    19.81843609     0.03744785     0.40607651  1987.51949784
     0.29500000   200.62433629   167.92047732    -0.00485448   673.95159610   562.65105014    -0.03018339     0.00000073    -0.00000088     0.00008314    19.81841503     0.03744540     0.40604967  1987.35082801
     0.30000000   203.99359043   170.73318962    -0.00500633   673.75001939   562.43383634    -0.03055535     0.00000074    -0.00000089     0.00008460    19.81839454     0.03744295     0.40602283  1987.18224663
     0.30500000   207.36183586   173.54481519    -0.00516002   673.54807132   562.21632739    -0.03092279     0.00000075    -0.00000090     0.00008606    19.81837524     0.03744050     0.40599600  1987.01375368
     0.31000000   210.72907021   176.35535214    -0.00531555   673.34557427   561.99837509    -0.03128573     0.00000076    -0.00000091     0.00008752    19.81835754     0.03743804     0.40596916  1986.84534920
     0.31500000   214.09529072   179.16479823    -0.00547287   673.14255660   561.78000320    -0.03164418     0.00000077    -0.00000092     0.00008898    19.81834139     0.03743559     0.40594232  1986.67703321
     0.32000000   217.46049530   181.97315180    -0.00563198   672.93926254   561.56141561    -0.03199813     0.00000078    -0.00000093     0.00009044    19.81832621     0.03743314     0.40591548  1986.50880574
     0.32500000   220.82468362   184.78041264    -0.00579285   672.73613358   561.34298078    -0.03234755     0.00000079    -0.00000094     0.00009191    19.81831100     0.03743068     0.40588864  1986.34066673
     0.33000000   224.18785765   187.58658248    -0.00595545   672.53360419   561.12506119    -0.03269242     0.00000080    -0.00000095     0.00009338    19.81829473     0.03742823     0.40586179  1986.17261607
     0.33500000   227.55002105   190.39166443    -0.00611976   672.33189756   560.90784297    -0.03303271     0.00000081    -0.00000096     0.00009485    19.81827691     0.03742578     0.40583495  1986.00465358
     0.34000000   230.91117800   193.19566208    -0.00628577   672.13100716   560.69132057    -0.03336844     0.00000082    -0.00000097     0.00009632    19.81825755     0.03742333     0.40580811  1985.83677907
     0.34500000   234.27133211   195.99857849    -0.00645344   671.93071026   560.47530807    -0.03369963     0.00000083    -0.00000098     0.00009779    19.81823715     0.03742087     0.40578126  1985.66899235
     0.35000000   237.63048560   198.80041560    -0.00662276   671.73071586   560.25956267    -0.03402630     0.00000083    -0.00000099     0.00009926    19.81821639     0.03741842     0.40575442  1985.50129331
     0.35500000   240.98863942   201.60117427    -0.00679370   671.53081260   560.04390806    -0.03434847     0.00000084    -0.00000100     0.00010074    19.81819576     0.03741597     0.40572757  1985.33368185
     0.36000000   244.34579368   204.40085466    -0.00696624   671.33088221   559.82824560    -0.03466616     0.00000085    -0.00000101     0.00010221    19.81817552     0.03741351     0.40570072  1985.16615792
     0.36500000   247.70194815   207.19945667    -0.00714035   671.13089809   559.61255311    -0.03497938     0.00000086    -0.00000102     0.00010369    19.81815575     0.03741106     0.40567388  1984.99872147
     0.37000000   251.05710265   209.99698021    -0.00731602   670.93091065   559.39687265    -0.03528812     0.00000087    -0.00000103     0.00010517    19.81813631     0.03740861     0.40564703  1984.83137246
     0.37500000   254.41125743   212.79342557    -0.00749322   670.73103264   559.18129821    -0.03559238     0.00000088    -0.00000104     0.00010665    19.81811696     0.03740615     0.40562018  1984.66411081
     0.38000000   257.76441344   215.58879361    -0.00767194   670.53143774   558.96597458    -0.03589215     0.00000088    -0.00000105     0.00010814    19.81809729     0.03740370     0.40559333  1984.49693644
     0.38500000   261.11657266   218.38308605    -0.00785214   670.33235246   558.75109053    -0.03618741     0.00000089    -0.00000106     0.00010962    19.81807677     0.03740124     0.40556647  1984.32984924
     0.39000000   264.46773814   221.17630552    -0.00803380   670.13396688   558.53680442    -0.03647816     0.00000090    -0.00000107     0.00011111    19.81805498     0.03739879     0.40553962  1984.16284905
     0.39500000   267.81791361   223.96845519    -0.00821691   669.93634538   558.32316982    -0.03676439     0.00000091    -0.00000108     0.00011260    19.81803176     0.03739634     0.40551277  1983.99593569
     0.40000000   271.16710277   226.75953821    -0.00840144   669.73941858   558.11012880    -0.03704610     0.00000091    -0.00000109     0.00011408    19.81800726     0.03739388     0.40548591  1983.82910898
     0.40500000   274.51530863   229.54955719    -0.00858737   669.54299178   557.89751902    -0.03732332     0.00000092    -0.00000110     0.00011558    19.81798194     0.03739143     0.40545906  1983.66236877
     0.41000000   277.86253313   232.33851380    -0.00877467   669.34683714   557.68515057    -0.03759608     0.00000093    -0.00000111     0.00011707    19.81795633     0.03738897     0.40543220  1983.49571494
     0.41500000   281.20877717   235.12640886    -0.00896332   669.15078587   557.47288280    -0.03786439     0.00000094    -0.00000111     0.00011856    19.81793080     0.03738652     0.40540534  1983.32914741
     0.42000000   284.55404099   237.91324265    -0.00915330   668.95473656   557.26063122    -0.03812827     0.00000094    -0.00000112     0.00012006    19.81790560     0.03738406     0.40537848  1983.16266612
